from_stop_id,to_stop_id,route_id,travel_time_s,operator
AG18,AG17,AG,123,rapid_rail_kl
AG17,AG16,AG,72,rapid_rail_kl
AG16,AG15,AG,88,rapid_rail_kl
AG15,AG14,AG,98,rapid_rail_kl
AG14,AG13,AG,127,rapid_rail_kl
AG13,AG12,AG,101,rapid_rail_kl
AG12,AG11,AG,100,rapid_rail_kl
AG11,AG10,AG,105,rapid_rail_kl
AG10,AG9,AG,91,rapid_rail_kl
AG9,AG8,AG,84,rapid_rail_kl
AG8,AG7,AG,110,rapid_rail_kl
AG7,AG6,AG,113,rapid_rail_kl
AG6,AG5,AG,87,rapid_rail_kl
AG5,AG4,AG,88,rapid_rail_kl
AG4,AG3,AG,103,rapid_rail_kl
AG3,AG2,AG,80,rapid_rail_kl
AG2,AG1,AG,97,rapid_rail_kl
AG1,AG2,AG,97,rapid_rail_kl
AG2,AG3,AG,80,rapid_rail_kl
AG3,AG4,AG,103,rapid_rail_kl
AG4,AG5,AG,88,rapid_rail_kl
AG5,AG6,AG,87,rapid_rail_kl
AG6,AG7,AG,113,rapid_rail_kl
AG7,AG8,AG,110,rapid_rail_kl
AG8,AG9,AG,84,rapid_rail_kl
AG9,AG10,AG,91,rapid_rail_kl
AG10,AG11,AG,105,rapid_rail_kl
AG11,AG12,AG,94,rapid_rail_kl
AG12,AG13,AG,104,rapid_rail_kl
AG13,AG14,AG,126,rapid_rail_kl
AG14,AG15,AG,99,rapid_rail_kl
AG15,AG16,AG,90,rapid_rail_kl
AG16,AG17,AG,74,rapid_rail_kl
AG17,AG18,AG,137,rapid_rail_kl
BRT1,BRT2,BRT,175,rapid_rail_kl
BRT2,BRT3,BRT,175,rapid_rail_kl
BRT3,BRT4,BRT,145,rapid_rail_kl
BRT4,BRT5,BRT,145,rapid_rail_kl
BRT5,BRT6,BRT,145,rapid_rail_kl
BRT6,BRT7,BRT,145,rapid_rail_kl
BRT7,BRT6,BRT,175,rapid_rail_kl
BRT6,BRT5,BRT,175,rapid_rail_kl
BRT5,BRT4,BRT,145,rapid_rail_kl
BRT4,BRT3,BRT,145,rapid_rail_kl
BRT3,BRT2,BRT,145,rapid_rail_kl
BRT2,BRT1,BRT,145,rapid_rail_kl
KG04,KG05,KGL,146,rapid_rail_kl
KG05,KG06,KGL,206,rapid_rail_kl
KG06,KG07,KGL,146,rapid_rail_kl
KG07,KG08,KGL,146,rapid_rail_kl
KG08,KG09,KGL,206,rapid_rail_kl
KG09,KG10,KGL,206,rapid_rail_kl
KG10,KG12,KGL,150,rapid_rail_kl
KG12,KG13,KGL,266,rapid_rail_kl
KG13,KG14,KGL,206,rapid_rail_kl
KG14,KG15,KGL,280,rapid_rail_kl
KG15,KG16,KGL,220,rapid_rail_kl
KG16,KG17,KGL,160,rapid_rail_kl
KG17,KG18A,KGL,220,rapid_rail_kl
KG18A,KG20,KGL,206,rapid_rail_kl
KG20,KG21,KGL,146,rapid_rail_kl
KG21,KG22,KGL,160,rapid_rail_kl
KG22,KG23,KGL,206,rapid_rail_kl
KG23,KG24,KGL,146,rapid_rail_kl
KG24,KG25,KGL,206,rapid_rail_kl
KG25,KG26,KGL,206,rapid_rail_kl
KG26,KG27,KGL,206,rapid_rail_kl
KG27,KG28,KGL,146,rapid_rail_kl
KG28,KG29,KGL,206,rapid_rail_kl
KG29,KG30,KGL,146,rapid_rail_kl
KG30,KG31,KGL,206,rapid_rail_kl
KG31,KG33,KGL,266,rapid_rail_kl
KG33,KG34,KGL,146,rapid_rail_kl
KG34,KG35,KGL,160,rapid_rail_kl
KG35,KG34,KGL,146,rapid_rail_kl
KG34,KG33,KGL,146,rapid_rail_kl
KG33,KG31,KGL,266,rapid_rail_kl
KG31,KG30,KGL,206,rapid_rail_kl
KG30,KG29,KGL,146,rapid_rail_kl
KG29,KG28,KGL,206,rapid_rail_kl
KG28,KG27,KGL,146,rapid_rail_kl
KG27,KG26,KGL,206,rapid_rail_kl
KG26,KG25,KGL,206,rapid_rail_kl
KG25,KG24,KGL,206,rapid_rail_kl
KG24,KG23,KGL,146,rapid_rail_kl
KG23,KG22,KGL,220,rapid_rail_kl
KG22,KG21,KGL,146,rapid_rail_kl
KG21,KG20,KGL,146,rapid_rail_kl
KG20,KG18A,KGL,220,rapid_rail_kl
KG18A,KG17,KGL,220,rapid_rail_kl
KG17,KG16,KGL,160,rapid_rail_kl
KG16,KG15,KGL,220,rapid_rail_kl
KG15,KG14,KGL,266,rapid_rail_kl
KG14,KG13,KGL,206,rapid_rail_kl
KG13,KG12,KGL,280,rapid_rail_kl
KG12,KG10,KGL,146,rapid_rail_kl
KG10,KG09,KGL,206,rapid_rail_kl
KG09,KG08,KGL,206,rapid_rail_kl
KG08,KG07,KGL,146,rapid_rail_kl
KG07,KG06,KGL,146,rapid_rail_kl
KG06,KG05,KGL,206,rapid_rail_kl
KG05,KG04,KGL,146,rapid_rail_kl
KJ37,KJ36,KJ,196,rapid_rail_kl
KJ36,KJ35,KJ,159,rapid_rail_kl
KJ35,KJ34,KJ,234,rapid_rail_kl
KJ34,KJ33,KJ,153,rapid_rail_kl
KJ33,KJ32,KJ,165,rapid_rail_kl
